k,AEE,HDM,NCE,NCD
1,0,0,0,0
2,5292,4478,4950,4950
3,14998,10769,13124,13277
4,29149,17356,21719,22603
5,53399,27610,34991,37774
6,95220,39376,49577,55339
7,163435,58327,74515,83380
8,250621,76014,97013,108568
9,420551,100202,130778,148693
10,596732,130918,177260,190667
11,880458,160789,216463,246350
12,1307993,200757,273438,300359
13,2255599,267841,388476,432168
14,3540695,333709,506042,518758
15,4896545,414898,605776,655565
16,8387251,496129,780878,807102
17,12090008,606379,996129,1015579
18,18198502,718122,1153866,1205273
19,28646966,821857,1408260,1370272
20,40341485,1006582,1866852,1838029
21,66166493,1217797,2623930,2180127
22,93921267,1457207,2957505,2669032
23,155157165,1758808,3995538,3375679
24,208983653,2120037,4735423,3968391
25,331522117,2317910,5784900,4529281
26,559223821,2820325,7017235,5512016
27,912652320,3219153,8600918,6251309
28,1281557889,3883390,10896120,7631088
29,1685203810,4390457,11396757,9001442
30,2007765930,5274035,14927257,10657431
31,3281790339,6175832,18608334,12207705
32,4981734429,7355585,25113137,14265809
