k,AEE,HDM,NCE,NCD
1,0,0,0,0
2,1214,946,1165,1165
3,3333,2292,3078,3093
4,5897,3666,4906,4944
5,9554,5855,7597,7693
6,13498,7882,9904,10059
7,18756,10942,13483,13649
8,23995,13404,16133,16294
9,30627,16346,19687,19869
10,36088,19500,23093,23266
11,43540,22613,26735,26594
12,51497,25878,30346,30263
13,59858,29989,34928,34532
14,71342,34785,39937,39440
15,80012,38658,44029,43517
16,91274,43015,49194,48094
17,103953,47935,55085,53566
18,112973,51689,58800,57035
19,125260,55670,63683,61294
20,140436,61562,69957,67468
21,158732,67794,77734,74286
22,171579,72690,83605,79569
23,183371,78451,89184,85073
24,204309,85140,97413,91656
25,220115,88743,102204,96577
26,236523,95833,109816,102832
27,258192,100633,115877,109052
28,273540,107980,123669,115428
29,295484,113840,130778,121940
30,315448,120068,137272,127613
31,342293,129276,147525,137058
32,365230,136525,156261,144469
