k,AEE,HDM,NCE,NCD
0,0.0,0.0,0.001994609832763672,0.0
1,0.003989696502685547,0.006981849670410156,0.003988981246948242,0.005983829498291016
2,0.00598454475402832,0.011968135833740234,0.01945018768310547,0.007977485656738281
3,0.012965202331542969,0.025931596755981445,0.011968135833740234,0.022938251495361328
4,0.01894831657409668,0.023935317993164062,0.03191566467285156,0.04089069366455078
5,0.030917882919311523,0.032912254333496094,0.0478672981262207,0.04887223243713379
6,0.0468592643737793,0.04587578773498535,0.06183671951293945,0.07780742645263672
7,0.06582474708557129,0.07679533958435059,0.05684638023376465,0.09574413299560547
8,0.07779955863952637,0.08975052833557129,0.06881928443908691,0.13862967491149902
9,0.07783627510070801,0.12104463577270508,0.09095501899719238,0.15470480918884277
10,0.09375214576721191,0.16204261779785156,0.09773588180541992,0.20643901824951172
11,0.1246638298034668,0.17452740669250488,0.1107027530670166,0.25133800506591797
12,0.11207032203674316,0.24152469635009766,0.12984728813171387,0.30242252349853516
13,0.11224675178527832,0.2413327693939209,0.17897343635559082,0.4004683494567871
14,0.14746427536010742,0.283214807510376,0.18477559089660645,0.4770033359527588
15,0.1851339340209961,0.3300628662109375,0.1835005283355713,0.5738141536712646
16,0.19388175010681152,0.37111592292785645,0.22992587089538574,0.6738471984863281
17,0.22881484031677246,0.4695091247558594,0.21546411514282227,0.785982608795166
18,0.24175810813903809,0.527306079864502,0.26155900955200195,0.887845516204834
19,0.28983259201049805,0.572852611541748,0.30091238021850586,1.0354499816894531
20,0.35195088386535645,0.6238710880279541,0.31890344619750977,1.1752028465270996
21,0.37802648544311523,0.7084136009216309,0.33262014389038086,1.3889925479888916
22,0.42241811752319336,0.7887558937072754,0.37294673919677734,1.5489327907562256
23,0.5394535064697266,0.866513729095459,0.41656064987182617,1.7474117279052734
24,0.7438259124755859,0.9631752967834473,0.4644801616668701,1.947591781616211
25,0.8459756374359131,1.0539698600769043,0.4748983383178711,2.208765745162964
26,1.4119234085083008,1.143024206161499,0.5771856307983398,2.456885576248169
27,1.367204189300537,1.28834867477417,0.5975170135498047,2.759474515914917
28,1.9017143249511719,1.3830530643463135,0.7281160354614258,3.0262084007263184
29,13.882073163986206,1.7622911930084229,0.7115941047668457,3.4130911827087402
30,5.867746829986572,1.7271265983581543,1.0002996921539307,3.7497875690460205
31,6.117781162261963,1.8529770374298096,1.0722720623016357,4.102911710739136
32,10.929958581924438,2.055187940597534,1.1450388431549072,4.519996881484985
